User ID,Session ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,Charger Type,User Type
User_12,S12,Chevy Bolt,85,Station_78,San Francisco,1/1/2024 11:00,1/1/2024 14:55,22.56492948,4.464822629,14.05086135,Evening,Sunday,DC Fast Charger,Long-Distance Traveler
User_13,S13,Hyundai Kona,100,Station_16,San Francisco,1/1/2024 12:00,1/1/2024 13:00,34.25645291,5.523688619,10.972136,Afternoon,Monday,Level 2,Casual Driver
User_14,S14,Nissan Leaf,75,Station_327,Houston,1/1/2024 13:00,1/1/2024 15:54,16.56106433,19.76909872,37.4418566,Morning,Friday,Level 2,Commuter
User_15,S15,BMW i3,85,Station_96,Houston,1/1/2024 14:00,1/1/2024 17:32,12.92754529,24.21115012,18.55281568,Afternoon,Monday,Level 1,Casual Driver
User_16,S16,Nissan Leaf,100,Station_147,Los Angeles,1/1/2024 15:00,1/1/2024 17:19,27.35431788,11.11249884,33.09349271,Evening,Monday,DC Fast Charger,Long-Distance Traveler
User_17,S17,BMW i3,97.68181223,Station_2,New York,1/1/2024 16:00,1/1/2024 18:02,24.72693768,49.40273862,17.49480846,Evening,Thursday,DC Fast Charger,Commuter
User_18,S18,Hyundai Kona,50,Station_10,Chicago,1/1/2024 17:00,1/1/2024 20:13,23.82404047,6.614280125,6.430589212,Evening,Friday,Level 2,Casual Driver
User_19,S19,Tesla Model 3,100,Station_434,New York,1/1/2024 18:00,1/1/2024 21:03,42.63801819,20.49084605,25.07879371,Evening,Saturday,Level 1,Long-Distance Traveler
User_20,S20,BMW i3,50,Station_125,Los Angeles,1/1/2024 19:00,1/1/2024 20:22,48.48248431,45.29143535,7.090844201,Morning,Wednesday,Level 2,Long-Distance Traveler
User_21,S21,Nissan Leaf,50,Station_81,Los Angeles,1/1/2024 20:00,1/1/2024 22:54,50.27906667,30.48996023,28.87289461,Night,Tuesday,Level 2,Casual Driver
User_22,S22,Hyundai Kona,62,Station_485,New York,1/1/2024 21:00,1/1/2024 22:55,59.13503162,,34.8532344,Evening,Sunday,Level 1,Commuter
User_23,S23,BMW i3,75,Station_140,Chicago,1/1/2024 22:00,2/1/2024 1:02,49.19642959,19.19488284,14.85613122,Afternoon,Saturday,DC Fast Charger,Long-Distance Traveler
User_24,S24,Tesla Model 3,100,Station_326,New York,1/1/2024 23:00,1/1/2024 23:31,68.44712632,49.71030697,38.4060617,Morning,Friday,DC Fast Charger,Commuter
User_25,S25,Tesla Model 3,100,Station_150,Houston,2/1/2024 0:00,2/1/2024 1:55,27.60438468,11.23853863,24.03753469,Morning,Wednesday,Level 1,Long-Distance Traveler
User_26,S26,Chevy Bolt,75,Station_288,San Francisco,2/1/2024 1:00,2/1/2024 3:42,40.1780035,12.3186148,38.76319383,Morning,Saturday,DC Fast Charger,Commuter
User_27,S27,Chevy Bolt,75,Station_361,Houston,2/1/2024 2:00,2/1/2024 2:33,43.48775122,36.18237188,27.44831088,Afternoon,Thursday,Level 1,Commuter
User_28,S28,Nissan Leaf,50,Station_340,San Francisco,2/1/2024 3:00,2/1/2024 6:13,10.33851772,45.77673119,9.855826893,Night,Sunday,Level 1,Long-Distance Traveler
User_29,S29,BMW i3,75,Station_129,Los Angeles,2/1/2024 4:00,2/1/2024 4:35,31.68448459,48.64872319,25.617104,Afternoon,Friday,Level 2,Casual Driver
User_30,S30,BMW i3,75,Station_438,Chicago,2/1/2024 5:00,2/1/2024 7:58,56.59325686,45.811731,33.13209178,Afternoon,Friday,DC Fast Charger,Casual Driver
User_31,S31,Chevy Bolt,100,Station_239,New York,2/1/2024 6:00,2/1/2024 9:54,19.4738006,7.043936342,36.94527292,Afternoon,Wednesday,DC Fast Charger,Casual Driver
User_32,S32,BMW i3,100,Station_58,Chicago,2/1/2024 7:00,2/1/2024 9:27,38.28919934,12.06439146,17.01178295,Evening,Wednesday,Level 1,Commuter
User_33,S33,BMW i3,100,Station_198,New York,2/1/2024 8:00,2/1/2024 9:58,16.13623873,21.51781505,26.43819424,Evening,Monday,Level 2,Casual Driver
User_34,S34,Tesla Model 3,62,Station_211,Houston,2/1/2024 9:00,2/1/2024 12:03,60.06708509,7.651570047,18.03439004,Afternoon,Monday,Level 2,Casual Driver
User_35,S35,Chevy Bolt,75,Station_402,Houston,2/1/2024 10:00,2/1/2024 13:32,57.72437946,4.485647105,35.50300017,Afternoon,Friday,DC Fast Charger,Long-Distance Traveler
User_36,S36,Hyundai Kona,75,Station_390,New York,2/1/2024 11:00,2/1/2024 14:16,37.37451606,18.86580196,29.86624993,Evening,Tuesday,Level 1,Commuter
User_37,S37,Chevy Bolt,75,Station_45,Chicago,2/1/2024 12:00,2/1/2024 15:10,39.94056362,28.62519933,15.85532743,Evening,Thursday,DC Fast Charger,Casual Driver
User_38,S38,Hyundai Kona,75,Station_97,New York,2/1/2024 13:00,2/1/2024 13:43,73.38661952,38.4508319,15.88270398,Night,Wednesday,DC Fast Charger,Long-Distance Traveler
User_39,S39,Tesla Model 3,85,Station_279,Los Angeles,2/1/2024 14:00,2/1/2024 15:25,61.52075986,12.51024896,26.50571298,Afternoon,Monday,Level 2,Commuter
User_40,S40,Nissan Leaf,100,Station_23,Houston,2/1/2024 15:00,2/1/2024 16:50,68.17785004,23.31161908,8.498571937,Morning,Thursday,Level 2,Long-Distance Traveler
User_41,S41,BMW i3,79.79920376,Station_410,Los Angeles,2/1/2024 16:00,2/1/2024 18:58,67.51805822,6.89787833,29.22236195,Night,Sunday,Level 2,Casual Driver
User_42,S42,Tesla Model 3,100,Station_461,Houston,2/1/2024 17:00,2/1/2024 18:15,39.39874236,20.46036487,26.61971775,Morning,Saturday,Level 2,Commuter
User_43,S43,BMW i3,85,Station_391,Houston,2/1/2024 18:00,2/1/2024 20:53,12.04931971,29.46894436,32.0420986,Night,Saturday,Level 1,Commuter
User_44,S44,Nissan Leaf,48.79648264,Station_335,San Francisco,2/1/2024 19:00,2/1/2024 19:45,77.05360638,8.388039538,6.364629694,Afternoon,Friday,DC Fast Charger,Casual Driver
User_45,S45,Nissan Leaf,75,Station_44,Los Angeles,2/1/2024 20:00,2/1/2024 22:29,,5.114613366,30.03796889,Morning,Wednesday,Level 2,Long-Distance Traveler
User_46,S46,Tesla Model 3,62,Station_27,Los Angeles,2/1/2024 21:00,2/1/2024 22:53,46.80719594,16.91833198,10.60887579,Evening,Saturday,DC Fast Charger,Commuter
User_47,S47,Nissan Leaf,75,Station_282,San Francisco,2/1/2024 22:00,3/1/2024 1:06,67.47546614,49.60079965,19.03070021,Night,Sunday,Level 1,Commuter
User_48,S48,Hyundai Kona,62,Station_97,Chicago,2/1/2024 23:00,2/1/2024 23:37,30.71093403,6.352661445,18.13183171,Morning,Wednesday,Level 2,Commuter
User_49,S49,Nissan Leaf,85,Station_463,Los Angeles,3/1/2024 0:00,3/1/2024 1:57,,14.14966619,13.11287367,Night,Monday,Level 1,Casual Driver
User_50,S50,BMW i3,100,Station_36,New York,3/1/2024 1:00,3/1/2024 3:40,8.713190576,49.27534559,9.644101414,Afternoon,Saturday,Level 2,Long-Distance Traveler
User_51,S51,BMW i3,85,Station_109,San Francisco,3/1/2024 2:00,3/1/2024 2:48,9.065880815,40.17800199,24.50189331,Morning,Tuesday,DC Fast Charger,Casual Driver
User_52,S52,BMW i3,50,Station_55,Los Angeles,3/1/2024 3:00,3/1/2024 5:06,58.73397362,13.1757273,28.10231006,Morning,Saturday,Level 1,Commuter
User_53,S53,BMW i3,50,Station_192,Chicago,3/1/2024 4:00,3/1/2024 5:35,65.98624913,46.27844331,18.84961041,Morning,Wednesday,Level 2,Long-Distance Traveler
User_54,S54,Hyundai Kona,62,Station_219,Los Angeles,3/1/2024 5:00,3/1/2024 6:48,74.99970643,35.92512612,34.08661866,Night,Tuesday,DC Fast Charger,Long-Distance Traveler
User_55,S55,Chevy Bolt,100,Station_185,Houston,3/1/2024 6:00,3/1/2024 7:55,17.76943641,34.45824194,9.798498138,Evening,Thursday,DC Fast Charger,Casual Driver
User_56,S56,Tesla Model 3,76.87610038,Station_69,New York,3/1/2024 7:00,3/1/2024 9:33,50.26893407,36.30337235,38.94193996,Evening,Saturday,DC Fast Charger,Casual Driver
User_57,S57,BMW i3,69.88407425,Station_317,San Francisco,3/1/2024 8:00,3/1/2024 11:51,76.45046499,11.33906316,30.19223444,Evening,Wednesday,Level 2,Commuter
User_58,S58,Nissan Leaf,62,Station_130,Houston,3/1/2024 9:00,3/1/2024 12:59,77.86372676,47.1540098,28.30319112,Afternoon,Saturday,DC Fast Charger,Casual Driver
User_59,S59,BMW i3,100,Station_55,Chicago,3/1/2024 10:00,3/1/2024 12:59,21.89299268,25.37395431,8.637821691,Morning,Saturday,DC Fast Charger,Casual Driver
User_60,S60,Nissan Leaf,100,Station_378,Houston,3/1/2024 11:00,3/1/2024 12:15,71.28000416,40.61639923,6.744728812,Evening,Wednesday,Level 2,Casual Driver
User_61,S61,Nissan Leaf,62,Station_97,Houston,3/1/2024 12:00,3/1/2024 14:22,21.82768818,26.50712322,36.0680415,Evening,Tuesday,Level 1,Casual Driver
User_62,S62,BMW i3,75,Station_336,Chicago,3/1/2024 13:00,3/1/2024 15:00,62.72316229,30.99702693,30.04444235,Morning,Monday,DC Fast Charger,Casual Driver
User_63,S63,Hyundai Kona,124.3159114,Station_87,Houston,3/1/2024 14:00,3/1/2024 16:50,46.195137,47.87752356,30.86418086,Afternoon,Sunday,Level 2,Commuter
User_64,S64,Nissan Leaf,100,Station_294,San Francisco,3/1/2024 15:00,3/1/2024 16:02,29.34565986,6.871184621,24.64975873,Night,Saturday,Level 1,Long-Distance Traveler
User_65,S65,Nissan Leaf,50,Station_119,Los Angeles,3/1/2024 16:00,3/1/2024 18:42,76.9334219,34.1768555,34.2283019,Night,Friday,DC Fast Charger,Casual Driver
User_66,S66,BMW i3,62,Station_208,Houston,3/1/2024 17:00,3/1/2024 18:46,59.25460166,,12.2204383,Night,Thursday,Level 2,Long-Distance Traveler
User_67,S67,Nissan Leaf,100,Station_334,San Francisco,3/1/2024 18:00,3/1/2024 21:04,37.06292778,15.23006259,37.87533458,Morning,Wednesday,Level 2,Long-Distance Traveler
User_68,S68,Nissan Leaf,85,Station_413,Los Angeles,3/1/2024 19:00,3/1/2024 21:30,67.69516175,32.97506874,13.77561921,Afternoon,Saturday,DC Fast Charger,Casual Driver
User_69,S69,BMW i3,75,Station_154,Los Angeles,3/1/2024 20:00,3/1/2024 22:37,16.41401693,,21.66778664,Morning,Sunday,Level 1,Casual Driver
User_70,S70,BMW i3,50,Station_35,Houston,3/1/2024 21:00,3/1/2024 22:47,67.00568214,4.092360865,14.42396639,Night,Monday,Level 1,Long-Distance Traveler
User_71,S71,Tesla Model 3,75,Station_79,San Francisco,3/1/2024 22:00,4/1/2024 1:01,70.61729259,26.07041363,15.47077791,Evening,Wednesday,Level 1,Commuter
User_72,S72,Hyundai Kona,75,Station_67,Houston,3/1/2024 23:00,4/1/2024 0:36,61.13047583,23.28180496,37.14898173,Evening,Saturday,DC Fast Charger,Long-Distance Traveler
User_73,S73,Hyundai Kona,85,Station_343,Chicago,4/1/2024 0:00,4/1/2024 2:24,22.88203842,29.9892225,10.70958202,Evening,Thursday,DC Fast Charger,Commuter
User_74,S74,Nissan Leaf,59.83272651,Station_413,Los Angeles,4/1/2024 1:00,4/1/2024 2:32,12.89488719,40.8840989,15.19733417,Night,Friday,Level 1,Long-Distance Traveler
User_75,S75,Hyundai Kona,85,Station_34,Houston,4/1/2024 2:00,4/1/2024 4:22,69.16916706,5.557358509,20.76646441,Afternoon,Wednesday,Level 1,Casual Driver
User_76,S76,Nissan Leaf,50,Station_97,Los Angeles,4/1/2024 3:00,4/1/2024 5:03,,9.569245073,24.79072323,Night,Saturday,Level 1,Commuter
User_77,S77,Tesla Model 3,100,Station_169,San Francisco,4/1/2024 4:00,4/1/2024 5:17,49.2788374,49.41151926,39.93168076,Morning,Tuesday,Level 1,Long-Distance Traveler
User_78,S78,BMW i3,75,Station_169,New York,4/1/2024 5:00,4/1/2024 8:40,31.21888968,30.02591267,17.60489531,Afternoon,Monday,Level 2,Commuter
User_79,S79,BMW i3,100,Station_151,Houston,4/1/2024 6:00,4/1/2024 9:55,30.65169982,28.52235334,39.32205438,Evening,Friday,DC Fast Charger,Casual Driver
User_80,S80,BMW i3,75,Station_71,Houston,4/1/2024 7:00,4/1/2024 7:41,59.98647673,23.41792115,15.68301656,Afternoon,Wednesday,Level 1,Commuter
User_81,S81,Hyundai Kona,48.05069473,Station_3,Los Angeles,4/1/2024 8:00,4/1/2024 11:05,51.67374779,46.59567841,18.01181178,Afternoon,Saturday,Level 2,Casual Driver
User_82,S82,Tesla Model 3,50,Station_314,San Francisco,4/1/2024 9:00,4/1/2024 12:21,35.90724265,25.60162087,19.2835227,Night,Friday,Level 1,Casual Driver
User_83,S83,Hyundai Kona,85,Station_32,Chicago,4/1/2024 10:00,4/1/2024 13:20,41.60783353,,29.53293287,Afternoon,Tuesday,Level 1,Commuter
User_84,S84,Hyundai Kona,62,Station_287,San Francisco,4/1/2024 11:00,4/1/2024 13:54,32.83295683,44.49236614,39.67482338,Night,Wednesday,Level 2,Casual Driver
User_85,S85,Tesla Model 3,50,Station_82,Houston,4/1/2024 12:00,4/1/2024 13:09,57.92445004,12.53816191,19.81732291,Morning,Friday,Level 1,Casual Driver
User_86,S86,Tesla Model 3,100,Station_43,Chicago,4/1/2024 13:00,4/1/2024 16:26,21.65616412,32.95451082,18.02550999,Afternoon,Wednesday,Level 1,Casual Driver
User_87,S87,Tesla Model 3,62,Station_391,San Francisco,4/1/2024 14:00,4/1/2024 15:54,41.01058175,45.3201096,18.06652173,Afternoon,Wednesday,Level 2,Commuter
User_88,S88,Tesla Model 3,62,Station_105,New York,4/1/2024 15:00,4/1/2024 16:26,79.81869447,13.00973223,35.97131697,Afternoon,Friday,Level 2,Casual Driver
User_89,S89,BMW i3,85,Station_1,Los Angeles,4/1/2024 16:00,4/1/2024 17:56,33.07294951,30.34474845,15.55083823,Evening,Wednesday,Level 2,Long-Distance Traveler
User_90,S90,Chevy Bolt,75,Station_61,San Francisco,4/1/2024 17:00,4/1/2024 18:53,27.84315247,17.00464385,12.27833192,Night,Tuesday,Level 2,Casual Driver
User_91,S91,Chevy Bolt,50,Station_270,San Francisco,4/1/2024 18:00,4/1/2024 21:41,28.44077392,42.42512683,13.77980418,Night,Friday,Level 2,Long-Distance Traveler
User_92,S92,Tesla Model 3,62,Station_180,New York,4/1/2024 19:00,4/1/2024 22:52,68.57302471,5.454692702,15.88941448,Evening,Saturday,Level 1,Commuter
User_93,S93,Chevy Bolt,85,Station_224,Houston,4/1/2024 20:00,4/1/2024 23:34,65.43101691,20.27269894,10.39565797,Night,Sunday,DC Fast Charger,Long-Distance Traveler
User_94,S94,Chevy Bolt,75,Station_6,Los Angeles,4/1/2024 21:00,4/1/2024 23:30,71.61568949,31.27184453,21.26356051,Morning,Friday,Level 2,Casual Driver
User_95,S95,Tesla Model 3,85,Station_103,San Francisco,4/1/2024 22:00,5/1/2024 1:51,7.93090145,44.12212999,33.81843011,Evening,Tuesday,DC Fast Charger,Casual Driver
User_96,S96,Chevy Bolt,24.59992215,Station_10,Chicago,4/1/2024 23:00,5/1/2024 0:43,,32.43654898,38.05802232,Night,Tuesday,Level 1,Casual Driver
User_97,S97,Hyundai Kona,75,Station_71,San Francisco,5/1/2024 0:00,5/1/2024 2:16,55.72920335,21.72306732,38.09371751,Morning,Tuesday,Level 2,Casual Driver
User_98,S98,Nissan Leaf,85,Station_90,Los Angeles,5/1/2024 1:00,5/1/2024 3:33,31.04657496,28.00485915,6.254545331,Night,Saturday,DC Fast Charger,Casual Driver
User_99,S99,Nissan Leaf,62,Station_226,San Francisco,5/1/2024 2:00,5/1/2024 5:47,15.91756324,17.55162621,9.531208381,Evening,Saturday,DC Fast Charger,Casual Driver
User_100,S100,Tesla Model 3,100,Station_158,New York,5/1/2024 3:00,5/1/2024 5:09,50.90348236,,28.33888703,Night,Sunday,DC Fast Charger,Commuter
User_101,S101,BMW i3,77.29894529,Station_228,San Francisco,5/1/2024 4:00,5/1/2024 7:53,71.47764853,,11.36377565,Morning,Sunday,DC Fast Charger,Casual Driver
User_102,S102,Tesla Model 3,100,Station_405,San Francisco,5/1/2024 5:00,5/1/2024 6:12,74.15366016,31.27742949,26.0001564,Morning,Wednesday,DC Fast Charger,Long-Distance Traveler
User_103,S103,BMW i3,75,Station_126,Chicago,5/1/2024 6:00,5/1/2024 8:28,46.77551047,32.08005239,18.58840411,Morning,Wednesday,Level 2,Long-Distance Traveler
User_104,S104,Nissan Leaf,95.15365777,Station_444,New York,5/1/2024 7:00,5/1/2024 7:52,8.4696438,16.0193428,31.23839757,Night,Thursday,Level 2,Long-Distance Traveler
User_105,S105,Tesla Model 3,85,Station_209,New York,5/1/2024 8:00,5/1/2024 11:04,61.69743867,30.78399682,22.48712027,Evening,Sunday,Level 2,Commuter
User_106,S106,Hyundai Kona,62,Station_97,San Francisco,5/1/2024 9:00,5/1/2024 12:35,41.26415505,29.08169093,29.01626915,Night,Sunday,DC Fast Charger,Long-Distance Traveler
User_107,S107,Chevy Bolt,85,Station_74,Chicago,5/1/2024 10:00,5/1/2024 11:06,6.503953234,35.93476782,35.24185936,Afternoon,Wednesday,DC Fast Charger,Long-Distance Traveler
User_108,S108,BMW i3,147.3953543,Station_115,San Francisco,5/1/2024 11:00,5/1/2024 13:43,65.89318362,24.83213224,11.03767314,Evening,Tuesday,Level 1,Long-Distance Traveler
User_109,S109,Chevy Bolt,50,Station_191,San Francisco,5/1/2024 12:00,5/1/2024 13:34,13.26290902,47.67047064,32.90930541,Afternoon,Thursday,DC Fast Charger,Commuter
User_110,S110,Chevy Bolt,85,Station_495,Los Angeles,5/1/2024 13:00,5/1/2024 15:43,,49.87870861,13.28397591,Night,Sunday,Level 1,Long-Distance Traveler
User_111,S111,Tesla Model 3,62,Station_170,Los Angeles,5/1/2024 14:00,5/1/2024 17:27,27.42595097,32.16501549,19.78138636,Evening,Tuesday,Level 1,Long-Distance Traveler
User_112,S112,Chevy Bolt,100,Station_307,Chicago,5/1/2024 15:00,5/1/2024 15:51,7.358446629,11.48048586,13.78679636,Afternoon,Monday,Level 2,Commuter
User_113,S113,Hyundai Kona,100,Station_448,Houston,5/1/2024 16:00,5/1/2024 18:14,36.137269,36.37707579,7.87091787,Night,Sunday,DC Fast Charger,Casual Driver
User_114,S114,Chevy Bolt,85,Station_204,Los Angeles,5/1/2024 17:00,5/1/2024 18:57,29.16952954,28.50456454,9.16414808,Evening,Saturday,DC Fast Charger,Long-Distance Traveler
User_115,S115,Tesla Model 3,85,Station_56,Houston,5/1/2024 18:00,5/1/2024 21:02,43.44537898,,34.67514514,Morning,Friday,Level 1,Casual Driver
User_116,S116,Hyundai Kona,100,Station_208,New York,5/1/2024 19:00,5/1/2024 21:34,26.86910961,12.05183663,17.54159529,Morning,Monday,Level 1,Long-Distance Traveler
User_117,S117,Nissan Leaf,85,Station_41,Los Angeles,5/1/2024 20:00,5/1/2024 21:48,17.93347917,25.58416842,25.49744244,Morning,Saturday,DC Fast Charger,Commuter
User_118,S118,Chevy Bolt,50,Station_32,Los Angeles,5/1/2024 21:00,5/1/2024 22:59,60.47162635,,15.88570515,Afternoon,Saturday,Level 1,Casual Driver
User_119,S119,Tesla Model 3,50,Station_15,Chicago,5/1/2024 22:00,6/1/2024 1:49,17.70473747,19.71367994,19.91512429,Afternoon,Tuesday,DC Fast Charger,Commuter
User_120,S120,Nissan Leaf,63.09631665,Station_62,Houston,5/1/2024 23:00,6/1/2024 0:20,47.7140959,,15.35252653,Night,Wednesday,DC Fast Charger,Casual Driver
User_121,S121,Nissan Leaf,85,Station_155,Los Angeles,6/1/2024 0:00,6/1/2024 3:25,71.18526462,10.29979972,5.138664199,Morning,Friday,Level 1,Commuter
User_122,S122,BMW i3,75,Station_284,Los Angeles,6/1/2024 1:00,6/1/2024 3:11,39.64439032,13.79828911,6.965265891,Afternoon,Wednesday,Level 2,Casual Driver
User_123,S123,Hyundai Kona,62,Station_209,Chicago,6/1/2024 2:00,6/1/2024 5:47,24.84871287,32.23574668,19.91298423,Morning,Wednesday,DC Fast Charger,Casual Driver
User_124,S124,Chevy Bolt,50,Station_320,Chicago,6/1/2024 3:00,6/1/2024 5:15,7.515940356,10.62138589,34.76080834,Night,Sunday,Level 1,Casual Driver
User_125,S125,Tesla Model 3,75,Station_494,Houston,6/1/2024 4:00,6/1/2024 7:42,64.41904929,24.62165118,28.99874331,Evening,Friday,Level 1,Long-Distance Traveler
User_126,S126,BMW i3,85,Station_187,New York,6/1/2024 5:00,6/1/2024 6:29,6.189015903,19.71535049,20.86311304,Afternoon,Friday,Level 1,Casual Driver
User_127,S127,Hyundai Kona,100,Station_498,New York,6/1/2024 6:00,6/1/2024 7:15,37.78790372,35.99593704,29.1176017,Afternoon,Monday,DC Fast Charger,Casual Driver
User_128,S128,BMW i3,85,Station_442,San Francisco,6/1/2024 7:00,6/1/2024 8:05,9.151234191,34.04604093,27.66612815,Evening,Tuesday,DC Fast Charger,Long-Distance Traveler
User_129,S129,Hyundai Kona,93.27378067,Station_130,Los Angeles,6/1/2024 8:00,6/1/2024 11:35,15.66056402,7.702187849,32.13666293,Afternoon,Wednesday,DC Fast Charger,Long-Distance Traveler
User_130,S130,Hyundai Kona,50,Station_127,Houston,6/1/2024 9:00,6/1/2024 12:53,35.55367093,45.8556972,23.36793048,Night,Tuesday,Level 1,Commuter
User_131,S131,Chevy Bolt,100,Station_292,Los Angeles,6/1/2024 10:00,6/1/2024 13:15,47.52745876,14.32817553,31.09859147,Afternoon,Tuesday,Level 2,Commuter
User_132,S132,Hyundai Kona,100,Station_114,Houston,6/1/2024 11:00,6/1/2024 11:40,36.61656862,27.32114694,11.58486923,Afternoon,Sunday,Level 2,Long-Distance Traveler
User_133,S133,BMW i3,50,Station_199,Houston,6/1/2024 12:00,6/1/2024 12:41,65.48719596,37.57728956,31.14502051,Evening,Thursday,DC Fast Charger,Long-Distance Traveler
User_134,S134,Hyundai Kona,85,Station_13,Houston,6/1/2024 13:00,6/1/2024 16:19,33.88719708,18.6042609,24.4683204,Night,Monday,DC Fast Charger,Long-Distance Traveler
User_135,S135,Chevy Bolt,48.46959856,Station_271,Los Angeles,6/1/2024 14:00,6/1/2024 15:08,47.29002739,15.40897976,46.27027201,Morning,Wednesday,DC Fast Charger,Long-Distance Traveler
User_136,S136,Chevy Bolt,100,Station_89,Chicago,6/1/2024 15:00,6/1/2024 18:48,48.48756787,16.75976743,7.600448838,Morning,Saturday,Level 2,Long-Distance Traveler
User_137,S137,BMW i3,75,Station_215,Los Angeles,6/1/2024 16:00,6/1/2024 18:48,15.01016595,13.76256858,13.72612323,Evening,Friday,Level 2,Commuter
User_138,S138,Nissan Leaf,85,Station_444,Houston,6/1/2024 17:00,6/1/2024 18:05,30.0651389,35.87112113,35.03863445,Night,Friday,DC Fast Charger,Long-Distance Traveler
User_139,S139,Nissan Leaf,85,Station_278,San Francisco,6/1/2024 18:00,6/1/2024 19:21,74.10645012,32.29091083,25.66318432,Evening,Tuesday,Level 1,Long-Distance Traveler
User_140,S140,Hyundai Kona,62,Station_447,New York,6/1/2024 19:00,6/1/2024 20:00,66.15159679,50.17058595,36.29871225,Evening,Monday,Level 2,Commuter
User_141,S141,Tesla Model 3,100,Station_474,Houston,6/1/2024 20:00,6/1/2024 21:02,47.37743937,48.16033463,28.11485499,Morning,Monday,DC Fast Charger,Casual Driver
User_142,S142,Hyundai Kona,62,Station_481,San Francisco,6/1/2024 21:00,6/1/2024 23:50,45.99296137,30.6035281,23.61328031,Night,Wednesday,Level 2,Commuter
User_143,S143,BMW i3,75,Station_203,Chicago,6/1/2024 22:00,7/1/2024 0:55,48.287872,34.38804244,30.23675881,Night,Wednesday,Level 1,Commuter
User_144,S144,BMW i3,50,Station_74,Houston,6/1/2024 23:00,7/1/2024 2:18,78.69341922,36.56255637,7.639601311,Evening,Tuesday,Level 1,Long-Distance Traveler
User_145,S145,BMW i3,93.09486955,Station_25,San Francisco,7/1/2024 0:00,7/1/2024 1:27,68.03002486,16.3955168,18.9698758,Morning,Tuesday,Level 2,Casual Driver
User_146,S146,BMW i3,85,Station_101,Houston,7/1/2024 1:00,7/1/2024 4:33,40.2483826,33.73226426,17.24311508,Night,Tuesday,DC Fast Charger,Commuter
User_147,S147,BMW i3,100,Station_176,Los Angeles,7/1/2024 2:00,7/1/2024 5:01,74.28073484,41.34180124,12.88650542,Evening,Thursday,Level 2,Casual Driver
User_148,S148,Chevy Bolt,85,Station_427,San Francisco,7/1/2024 3:00,7/1/2024 6:50,,38.87012919,20.26198907,Afternoon,Monday,DC Fast Charger,Commuter
User_149,S149,Nissan Leaf,50,Station_117,Los Angeles,7/1/2024 4:00,7/1/2024 6:37,74.94807969,43.62020159,31.58444612,Morning,Tuesday,Level 2,Long-Distance Traveler
User_150,S150,BMW i3,100,Station_166,Los Angeles,7/1/2024 5:00,7/1/2024 6:00,52.8841303,35.52596163,7.95349418,Night,Sunday,Level 1,Commuter
User_151,S151,Tesla Model 3,50,Station_41,San Francisco,7/1/2024 6:00,7/1/2024 7:24,34.96988837,19.6515445,16.52800214,Night,Monday,Level 2,Commuter
