Session ID,User ID,Vehicle_Variant_ID,Station_Variant_ID,Date,TimeOfDay_ID,Charging Duration (hours),Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD)
S34,User_34,V147,S327,2024-01-02,3,3.05,60.067,7.652,18.03
S35,User_35,V51,S815,2024-01-02,3,3.533,57.724,4.486,35.5
S36,User_36,V78,S782,2024-01-02,1,3.267,37.375,18.866,29.87
S37,User_37,V51,S946,2024-01-02,1,3.167,39.941,28.625,15.86
S38,User_38,V78,S1201,2024-01-02,4,0.717,73.387,38.451,15.88
S39,User_39,V154,S500,2024-01-02,3,1.417,61.521,12.51,26.51
S40,User_40,V126,S377,2024-01-02,2,1.833,68.178,23.312,8.5
S41,User_41,V15,S839,2024-01-02,4,2.967,67.518,6.898,29.22
S42,User_42,V160,S977,2024-01-02,2,1.25,39.399,20.46,26.62
S43,User_43,V16,S785,2024-01-02,4,2.883,12.049,29.469,32.04
S44,User_44,V106,S645,2024-01-02,3,0.75,77.054,8.388,6.36
S45,User_45,V119,S917,2024-01-02,2,2.483,12.701,5.115,30.04
S46,User_46,V147,S476,2024-01-02,1,1.883,46.807,16.918,10.61
S47,User_47,V119,S509,2024-01-02,4,3.1,67.475,49.601,19.03
S48,User_48,V74,S1198,2024-01-02,2,0.617,30.711,6.353,18.13
S49,User_49,V122,S984,2024-01-03,4,1.95,27.592,14.15,13.11
S50,User_50,V23,S711,2024-01-03,3,2.667,8.713,49.275,9.64
S51,User_51,V16,S40,2024-01-03,2,0.8,9.066,40.178,24.5
S52,User_52,V7,S1080,2024-01-03,2,2.1,58.734,13.176,28.1
S53,User_53,V7,S269,2024-01-03,2,1.583,65.986,46.278,18.85
S54,User_54,V74,S353,2024-01-03,4,1.8,75.0,35.925,34.09
S55,User_55,V62,S252,2024-01-03,1,1.917,17.769,34.458,9.8
S56,User_56,V151,S1118,2024-01-03,1,2.55,50.269,36.303,38.94
S57,User_57,V10,S593,2024-01-03,1,3.85,76.45,11.339,30.19
S58,User_58,V113,S93,2024-01-03,3,3.983,77.864,47.154,28.3
S59,User_59,V23,S1079,2024-01-03,2,2.983,21.893,25.374,8.64
S60,User_60,V126,S750,2024-01-03,1,1.25,71.28,40.616,6.74
S61,User_61,V113,S1199,2024-01-03,1,2.367,21.828,26.507,36.07
S62,User_62,V12,S646,2024-01-03,2,2.0,62.723,30.997,30.04
S63,User_63,V92,S1174,2024-01-03,3,2.833,46.195,47.878,30.86
S64,User_64,V126,S535,2024-01-03,4,1.033,29.346,6.871,24.65
S65,User_65,V107,S58,2024-01-03,4,2.7,76.933,34.177,34.23
S66,User_66,V9,S318,2024-01-03,4,1.767,59.255,33.54,12.22
S67,User_67,V126,S644,2024-01-03,2,3.067,37.063,15.23,37.88
S68,User_68,V122,S845,2024-01-03,3,2.5,67.695,32.975,13.78
S69,User_69,V12,S161,2024-01-03,2,2.617,16.414,6.273,21.67
S70,User_70,V7,S682,2024-01-03,4,1.783,67.006,4.092,14.42
S71,User_71,V150,S1153,2024-01-03,1,3.017,70.617,26.07,15.47
S72,User_72,V78,S1110,2024-01-03,1,1.6,61.13,23.282,37.15
S73,User_73,V82,S668,2024-01-04,1,2.4,22.882,29.989,10.71
S74,User_74,V112,S846,2024-01-04,4,1.533,12.895,40.884,15.2
S75,User_75,V82,S658,2024-01-04,3,2.367,69.169,5.557,20.77
S76,User_76,V107,S1200,2024-01-04,4,2.05,19.617,9.569,24.79
S77,User_77,V160,S201,2024-01-04,2,1.283,49.279,49.412,39.93
S78,User_78,V12,S200,2024-01-04,3,3.667,31.219,30.026,17.6
S79,User_79,V23,S152,2024-01-04,1,3.917,30.652,28.522,39.32
S80,User_80,V12,S1124,2024-01-04,3,0.683,59.986,23.418,15.68
S81,User_81,V69,S548,2024-01-04,3,3.083,51.674,46.596,18.01
S82,User_82,V142,S590,2024-01-04,4,3.35,35.907,25.602,19.28
S83,User_83,V82,S598,2024-01-04,3,3.333,41.608,12.482,29.53
S84,User_84,V74,S520,2024-01-04,4,2.9,32.833,44.492,39.67
S85,User_85,V142,S1162,2024-01-04,2,1.15,57.924,12.538,19.82
S86,User_86,V160,S891,2024-01-04,3,3.433,21.656,32.955,18.03
S87,User_87,V147,S786,2024-01-04,3,1.9,41.011,45.32,18.07
S88,User_88,V147,S23,2024-01-04,3,1.433,79.819,13.01,35.97
S89,User_89,V16,S2,2024-01-04,1,1.933,33.073,30.345,15.55
S90,User_90,V51,S1097,2024-01-04,4,1.883,27.843,17.005,12.28
S91,User_91,V42,S478,2024-01-04,4,3.683,28.441,42.425,13.78
S92,User_92,V147,S238,2024-01-04,1,3.867,68.573,5.455,15.89
S93,User_93,V58,S365,2024-01-04,4,3.567,65.431,20.273,10.4
S94,User_94,V51,S1095,2024-01-04,2,2.5,71.616,31.272,21.26
S95,User_95,V154,S19,2024-01-04,1,3.85,7.931,44.122,33.82
S96,User_96,V35,S5,2024-01-04,4,1.717,55.683,32.437,38.06
S97,User_97,V78,S1129,2024-01-05,2,2.267,55.729,21.723,38.09
S98,User_98,V122,S1185,2024-01-05,4,2.55,31.047,28.005,6.25
S99,User_99,V113,S368,2024-01-05,1,3.783,15.918,17.552,9.53
S100,User_100,V160,S174,2024-01-05,4,2.15,50.903,23.676,28.34
S101,User_101,V13,S373,2024-01-05,2,3.883,71.478,18.406,11.36
S102,User_102,V160,S828,2024-01-05,2,1.2,74.154,31.277,26.0
S103,User_103,V12,S77,2024-01-05,2,2.467,46.776,32.08,18.59
S104,User_104,V125,S933,2024-01-05,4,0.867,8.47,16.019,31.24
S105,User_105,V154,S321,2024-01-05,1,3.067,61.697,30.784,22.49
S106,User_106,V74,S1202,2024-01-05,4,3.583,41.264,29.082,29.02
S107,User_107,V58,S1132,2024-01-05,3,1.1,6.504,35.935,35.24
S108,User_108,V31,S50,2024-01-05,1,2.717,65.893,24.832,11.04
S109,User_109,V42,S268,2024-01-05,3,1.567,13.263,47.67,32.91
S110,User_110,V58,S1060,2024-01-05,4,2.717,135.504,49.879,13.28
S111,User_111,V147,S210,2024-01-05,1,3.45,27.426,32.165,19.78
S112,User_112,V62,S565,2024-01-05,3,0.85,7.358,11.48,13.79
S113,User_113,V86,S943,2024-01-05,4,2.233,36.137,36.377,7.87
S114,User_114,V58,S307,2024-01-05,1,1.95,29.17,28.505,9.16
S115,User_115,V154,S1083,2024-01-05,2,3.033,43.445,14.323,34.68
S116,User_116,V86,S319,2024-01-05,2,2.567,26.869,12.052,17.54
S117,User_117,V122,S836,2024-01-05,2,1.8,17.933,25.584,25.5
S118,User_118,V42,S601,2024-01-05,3,1.983,60.472,30.49,15.89
S119,User_119,V142,S147,2024-01-05,3,3.817,17.705,19.714,19.92
S120,User_120,V114,S1098,2024-01-05,4,1.333,47.714,35.786,15.35
S121,User_121,V122,S165,2024-01-06,2,3.417,71.185,10.3,5.14
S122,User_122,V12,S513,2024-01-06,3,2.183,39.644,13.798,6.97
S123,User_123,V74,S320,2024-01-06,2,3.783,24.849,32.236,19.91
S124,User_124,V42,S602,2024-01-06,4,2.25,7.516,10.621,34.76
S125,User_125,V150,S1058,2024-01-06,1,3.7,64.419,24.622,29.0
S126,User_126,V16,S258,2024-01-06,3,1.483,6.189,19.715,20.86
S127,User_127,V86,S1068,2024-01-06,3,1.25,37.788,35.996,29.12
S128,User_128,V16,S925,2024-01-06,1,1.083,9.151,34.046,27.67
S129,User_129,V83,S94,2024-01-06,3,3.583,15.661,7.702,32.14
S130,User_130,V70,S78,2024-01-06,4,3.883,35.554,45.856,23.37
S131,User_131,V62,S528,2024-01-06,3,3.25,47.527,14.328,31.1
S132,User_132,V86,S49,2024-01-06,3,0.667,36.617,27.321,11.58
S133,User_133,V7,S289,2024-01-06,1,0.683,65.487,37.577,31.15
S134,User_134,V82,S89,2024-01-06,4,3.317,33.887,18.604,24.47
S135,User_135,V41,S480,2024-01-06,2,1.133,47.29,15.409,46.27
S136,User_136,V62,S1181,2024-01-06,2,3.8,48.488,16.76,7.6
S137,User_137,V12,S341,2024-01-06,1,2.8,15.01,13.763,13.73
S138,User_138,V122,S932,2024-01-06,4,1.083,30.065,35.871,35.04
S139,User_139,V122,S497,2024-01-06,1,1.35,74.106,32.291,25.66
S140,User_140,V74,S942,2024-01-06,1,1.0,66.152,50.171,36.3
S141,User_141,V160,S1005,2024-01-06,2,1.033,47.377,48.16,28.11
S142,User_142,V74,S1028,2024-01-06,4,2.833,45.993,30.604,23.61
S143,User_143,V12,S303,2024-01-06,4,2.917,48.288,34.388,30.24
S144,User_144,V7,S1133,2024-01-06,1,3.3,78.693,36.563,7.64
S145,User_145,V20,S425,2024-01-07,2,1.45,68.03,16.396,18.97
S146,User_146,V16,S13,2024-01-07,4,3.55,40.248,33.732,17.24
S147,User_147,V23,S221,2024-01-07,1,3.017,74.281,41.342,12.89
S148,User_148,V58,S885,2024-01-07,3,3.833,149.002,38.87,20.26
S149,User_149,V107,S54,2024-01-07,2,2.617,74.948,43.62,31.58
S150,User_150,V23,S192,2024-01-07,4,1.0,52.884,35.526,7.95
S151,User_151,V142,S837,2024-01-07,4,1.4,34.97,19.652,16.53
S152,User_152,V154,S889,2024-01-07,4,0.65,55.918,6.639,25.57
S153,User_153,V147,S674,2024-01-07,2,3.617,76.598,31.597,19.34
S154,User_154,V160,S880,2024-01-07,1,2.65,20.256,3.023,31.89
S155,User_155,V42,S721,2024-01-07,3,0.733,56.069,28.169,7.96
S156,User_156,V147,S64,2024-01-07,4,0.533,65.05,22.559,20.8
S157,User_157,V16,S1203,2024-01-07,2,1.2,11.943,9.952,11.75
S158,User_158,V71,S132,2024-01-07,4,3.133,23.571,49.784,22.0
S159,User_159,V147,S343,2024-01-07,1,3.783,82.25,21.74,8.61
S160,User_160,V62,S375,2024-01-07,3,1.6,41.089,7.854,37.37
S161,User_161,V44,S588,2024-01-07,4,1.417,48.998,2.561,15.93
S162,User_162,V154,S95,2024-01-07,2,1.533,10.278,45.687,7.05
S163,User_163,V82,S688,2024-01-07,1,3.867,45.574,11.09,34.03
S164,User_164,V147,S747,2024-01-07,3,0.733,69.106,22.986,9.36
S165,User_165,V63,S595,2024-01-07,2,2.3,37.765,32.733,26.22
S166,User_166,V122,S1002,2024-01-07,4,2.417,14.496,21.245,30.87
S167,User_167,V12,S109,2024-01-07,2,2.017,54.641,19.709,18.84
S168,User_168,V51,S610,2024-01-07,3,2.783,67.891,9.685,11.33
S169,User_169,V160,S649,2024-01-08,1,3.25,22.743,29.636,8.23
S170,User_170,V16,S484,2024-01-08,1,1.267,56.018,37.853,14.58
S171,User_171,V154,S53,2024-01-08,4,1.433,127.757,9.286,20.34
S172,User_172,V160,S562,2024-01-08,4,1.317,13.877,9.913,26.91
S173,User_173,V119,S725,2024-01-08,4,1.667,54.333,32.6,37.21
S174,User_174,V23,S1194,2024-01-08,4,2.867,47.824,6.083,35.99
S175,User_175,V7,S197,2024-01-08,3,2.917,71.143,14.83,37.02
S176,User_176,V122,S924,2024-01-08,4,1.85,6.089,4.868,9.19
S177,User_177,V42,S305,2024-01-08,2,2.417,33.099,16.687,36.52
S178,User_178,V157,S662,2024-01-08,3,2.233,78.833,8.425,23.3
S179,User_179,V86,S145,2024-01-08,3,1.95,63.237,5.256,39.7
S180,User_180,V142,S819,2024-01-08,4,0.517,50.161,29.087,8.85
S181,User_181,V142,S247,2024-01-08,3,2.217,21.821,97.342,13.1
S182,User_182,V42,S847,2024-01-08,2,1.883,61.0,5.72,20.42
S183,User_183,V147,S156,2024-01-08,3,1.2,47.315,10.163,25.92
S184,User_184,V113,S1136,2024-01-08,3,3.05,33.784,48.768,22.9
S185,User_185,V113,S720,2024-01-08,2,1.667,47.841,36.25,11.35
S186,User_186,V7,S814,2024-01-08,2,3.25,10.64,19.167,6.5
S187,User_187,V89,S487,2024-01-08,3,2.05,72.238,14.436,24.33
S188,User_188,V154,S862,2024-01-08,1,1.183,36.158,46.328,37.21
S189,User_189,V142,S1062,2024-01-08,3,2.7,63.627,9.987,35.03
S190,User_190,V42,S331,2024-01-08,2,2.8,8.35,47.482,19.75
S191,User_191,V126,S14,2024-01-08,2,1.567,65.832,7.254,7.45
S192,User_192,V86,S948,2024-01-08,2,1.05,55.189,52.561,23.68
S193,User_193,V16,S1161,2024-01-09,1,2.483,55.979,13.799,31.53
S194,User_194,V113,S207,2024-01-09,2,0.5,38.508,15.81,38.19
S195,User_195,V16,S1131,2024-01-09,4,2.65,13.106,14.554,28.93
S196,User_196,V51,S113,2024-01-09,4,2.95,7.816,5.098,32.27
S197,User_197,V42,S899,2024-01-09,1,1.5,52.51,17.13,43.16
S198,User_198,V154,S172,2024-01-09,2,2.967,12.128,32.1,31.07
S199,User_199,V78,S363,2024-01-09,2,1.95,28.988,14.866,8.69
S200,User_200,V9,S99,2024-01-09,4,1.617,13.485,29.873,27.32
S201,User_201,V113,S655,2024-01-09,4,2.6,80.729,36.782,12.95
S202,User_202,V58,S823,2024-01-09,3,2.817,53.587,6.928,7.44
S203,User_203,V147,S744,2024-01-09,1,0.85,72.829,47.526,36.36
S204,User_204,V154,S743,2024-01-09,3,2.95,64.232,29.928,5.94
S205,User_205,V23,S995,2024-01-09,1,1.85,17.855,48.385,38.5
S206,User_206,V50,S31,2024-01-09,2,2.633,63.854,37.229,8.32
S207,User_207,V82,S34,2024-01-09,2,0.983,70.995,12.561,13.17
S208,User_208,V58,S463,2024-01-09,1,2.583,62.248,18.589,15.58
S209,User_209,V19,S310,2024-01-09,3,2.1,78.643,34.824,31.45
S210,User_210,V16,S1152,2024-01-09,4,0.883,6.962,22.673,26.22
S211,User_211,V58,S164,2024-01-09,1,0.717,75.186,53.175,14.74
S212,User_212,V7,S481,2024-01-09,1,1.083,1.755,8.431,22.72
S213,User_213,V56,S1009,2024-01-09,1,3.767,73.614,3.856,14.12
S214,User_214,V113,S1035,2024-01-09,2,3.867,6.378,33.842,27.8
S215,User_215,V50,S417,2024-01-09,1,0.883,51.162,15.003,39.82
S216,User_216,V51,S265,2024-01-09,2,3.617,28.23,23.437,36.34
S217,User_217,V9,S676,2024-01-10,4,2.067,67.923,41.744,32.18
S218,User_218,V12,S905,2024-01-10,4,1.4,15.274,5.37,7.63
S219,User_219,V154,S450,2024-01-10,3,3.9,50.644,29.634,38.25
S220,User_220,V142,S347,2024-01-10,2,3.95,52.055,5.231,25.0
S221,User_221,V119,S163,2024-01-10,4,0.883,57.898,15.381,28.14
S222,User_222,V150,S163,2024-01-10,4,3.9,30.901,40.564,14.44
S223,User_223,V40,S217,2024-01-10,3,3.017,35.348,5.497,12.65
S224,User_224,V12,S1190,2024-01-10,3,3.517,11.926,49.423,25.99
S225,User_225,V147,S900,2024-01-10,3,0.917,55.464,20.988,16.65
S226,User_226,V142,S654,2024-01-10,2,3.717,44.159,23.752,5.55
S227,User_227,V126,S1024,2024-01-10,1,1.817,65.245,46.97,24.75
S228,User_228,V107,S240,2024-01-10,2,3.25,20.465,18.599,7.67
S229,User_229,V37,S97,2024-01-10,3,1.567,49.187,32.363,9.12
S230,User_230,V16,S951,2024-01-10,1,1.733,32.643,29.199,5.78
S231,User_231,V122,S1027,2024-01-10,4,3.467,66.624,45.506,22.34
S232,User_232,V147,S543,2024-01-10,2,3.2,33.366,10.197,35.96
S233,User_233,V28,S488,2024-01-10,3,1.2,68.825,16.936,33.86
S234,User_234,V12,S486,2024-01-10,3,0.967,65.892,36.493,9.14
S235,User_235,V147,S1053,2024-01-10,1,3.233,134.27,41.527,9.08
S236,User_236,V119,S857,2024-01-10,2,1.833,12.67,18.718,32.18
S237,User_237,V142,S1142,2024-01-10,4,3.583,25.354,16.881,19.33
S238,User_238,V23,S224,2024-01-10,4,1.383,37.928,27.418,36.21
S239,User_239,V78,S249,2024-01-10,1,1.133,34.005,30.004,23.49
S240,User_240,V70,S597,2024-01-10,1,1.183,31.877,23.466,38.29
S241,User_241,V42,S98,2024-01-11,4,3.083,29.583,37.184,16.67
S242,User_242,V160,S715,2024-01-11,1,0.967,37.51,6.342,23.23
S243,User_243,V147,S1051,2024-01-11,1,3.333,7.85,2.355,25.95
S244,User_244,V62,S1081,2024-01-11,2,2.667,66.521,15.099,34.74
S245,User_245,V62,S161,2024-01-11,1,2.783,207.672,74.613,7.89
S246,User_246,V50,S698,2024-01-11,3,3.6,29.841,14.039,9.06
S247,User_247,V23,S299,2024-01-11,3,2.85,59.781,28.462,13.52
S248,User_248,V156,S572,2024-01-11,3,3.883,76.358,10.895,68.93
S249,User_249,V23,S702,2024-01-11,1,3.4,60.41,48.789,17.9
S250,User_250,V58,S737,2024-01-11,4,1.183,44.785,35.39,36.91
S251,User_251,V150,S57,2024-01-11,3,2.05,22.228,10.843,27.52
S252,User_252,V23,S459,2024-01-11,2,3.15,22.276,18.209,24.41
S253,User_253,V16,S971,2024-01-11,1,1.017,29.014,43.01,12.29
S254,User_254,V51,S555,2024-01-11,4,3.317,61.118,28.402,20.04
S255,User_255,V147,S700,2024-01-11,4,3.15,65.551,12.163,24.21
S256,User_256,V42,S812,2024-01-11,1,0.917,76.58,10.566,36.69
S257,User_257,V142,S831,2024-01-11,1,2.4,37.094,23.619,19.54
S258,User_258,V86,S262,2024-01-11,2,2.633,56.358,21.402,35.07
S259,User_259,V122,S579,2024-01-11,1,1.417,6.355,4.11,10.03
S260,User_260,V113,S594,2024-01-11,1,2.517,60.523,14.163,22.67
S261,User_261,V107,S86,2024-01-11,4,2.25,49.622,28.55,12.88
S262,User_262,V62,S1052,2024-01-11,3,2.65,54.126,13.619,31.94
S263,User_263,V68,S424,2024-01-11,3,1.833,13.089,36.476,36.61
S264,User_264,V150,S464,2024-01-11,4,3.117,7.424,15.101,36.54
S265,User_265,V30,S56,2024-01-12,1,2.483,47.086,5.131,31.22
S266,User_266,V160,S987,2024-01-12,2,3.8,42.523,19.043,23.6
S267,User_267,V16,S129,2024-01-12,3,1.35,56.821,21.27,15.83
S268,User_268,V150,S922,2024-01-12,1,2.0,36.532,5.093,32.24
S269,User_269,V86,S297,2024-01-12,3,2.767,58.151,34.965,25.39
S270,User_270,V4,S171,2024-01-12,4,0.85,63.594,28.596,5.09
S271,User_271,V58,S1042,2024-01-12,3,1.05,55.415,30.644,36.43
S272,User_272,V142,S678,2024-01-12,4,2.317,12.92,9.137,11.5
S273,User_273,V150,S105,2024-01-12,4,1.3,70.245,31.882,18.53
S274,User_274,V7,S811,2024-01-12,4,2.633,47.904,22.062,35.04
S275,User_275,V50,S141,2024-01-12,2,1.7,59.148,14.88,32.07
S276,User_276,V51,S646,2024-01-12,1,1.883,6.463,5.335,37.46
S277,User_277,V86,S1125,2024-01-12,4,1.367,79.002,26.977,11.29
S278,User_278,V53,S387,2024-01-12,4,2.15,19.917,32.212,10.47
S279,User_279,V50,S640,2024-01-12,3,2.55,73.23,23.618,16.97
S280,User_280,V51,S547,2024-01-12,1,3.283,15.059,14.768,15.67
S281,User_281,V113,S160,2024-01-12,2,1.233,12.133,40.197,34.87
S282,User_282,V86,S1187,2024-01-12,2,3.75,30.533,19.021,35.16
S283,User_283,V142,S643,2024-01-12,3,2.767,20.354,11.162,26.17
S284,User_284,V7,S290,2024-01-12,2,2.233,6.479,2.901,37.21
S285,User_285,V160,S182,2024-01-12,3,2.983,14.019,6.291,25.54
S286,User_286,V82,S451,2024-01-12,1,2.917,61.83,49.16,8.02
S287,User_287,V12,S67,2024-01-12,3,3.883,51.622,43.161,28.15
S288,User_288,V86,S554,2024-01-12,3,2.25,13.319,21.63,9.97
S289,User_289,V58,S333,2024-01-13,4,1.2,37.642,19.596,27.9
S290,User_290,V12,S1104,2024-01-13,2,3.267,70.62,18.336,14.74
S291,User_291,V51,S952,2024-01-13,1,3.833,74.491,32.95,31.65
S292,User_292,V150,S905,2024-01-13,1,2.717,32.525,31.553,10.04
S293,User_293,V160,S1113,2024-01-13,4,1.283,78.399,29.753,34.3
S294,User_294,V7,S434,2024-01-13,3,2.583,65.323,41.877,17.84
S295,User_295,V9,S838,2024-01-13,1,0.6,30.64,46.849,36.96
S296,User_296,V82,S968,2024-01-13,1,3.95,78.159,7.347,15.06
S297,User_297,V78,S292,2024-01-13,3,3.767,5.338,29.154,39.59
S298,User_298,V51,S800,2024-01-13,3,0.75,29.319,36.764,26.74
S299,User_299,V12,S35,2024-01-13,1,2.633,23.994,32.934,20.65
S300,User_300,V160,S518,2024-01-13,3,2.4,5.7,40.483,16.58
S301,User_301,V76,S1050,2024-01-13,2,1.1,54.529,41.494,9.77
S302,User_302,V70,S121,2024-01-13,1,3.233,56.325,14.246,31.34
S303,User_303,V150,S351,2024-01-13,3,2.567,39.252,15.293,26.58
S304,User_304,V78,S915,2024-01-13,1,1.833,65.225,18.07,29.44
S305,User_305,V62,S855,2024-01-13,1,3.683,23.54,3.508,23.22
S306,User_306,V12,S474,2024-01-13,4,1.517,18.55,13.855,16.48
S307,User_307,V136,S1145,2024-01-13,2,1.683,20.763,23.993,30.69
S308,User_308,V16,S344,2024-01-13,2,3.633,46.455,42.838,5.06
S309,User_309,V82,S764,2024-01-13,4,2.567,49.749,33.702,18.59
S310,User_310,V86,S1204,2024-01-13,4,3.167,66.175,4.096,37.06
S311,User_311,V154,S392,2024-01-13,1,1.583,19.678,12.428,30.35
S312,User_312,V47,S506,2024-01-13,2,0.983,49.838,20.87,12.25
S313,User_313,V119,S146,2024-01-14,4,0.817,50.66,41.884,34.02
S314,User_314,V147,S844,2024-01-14,3,3.617,6.885,29.447,13.15
S315,User_315,V119,S558,2024-01-14,1,1.85,64.764,31.454,9.0
S316,User_316,V107,S1032,2024-01-14,2,2.267,55.421,39.08,11.68
S317,User_317,V58,S877,2024-01-14,1,3.85,37.772,4.035,32.36
S318,User_318,V119,S1108,2024-01-14,1,3.017,44.066,18.136,37.81
S319,User_319,V107,S389,2024-01-14,3,2.683,76.71,37.735,9.42
S320,User_320,V51,S964,2024-01-14,3,1.1,6.521,34.453,9.84
S321,User_321,V122,S1176,2024-01-14,4,2.683,23.02,23.68,20.86
S322,User_322,V126,S1151,2024-01-14,3,1.767,62.319,22.416,7.16
S323,User_323,V113,S311,2024-01-14,2,1.967,64.522,39.247,38.18
S324,User_324,V160,S502,2024-01-14,4,3.9,52.997,38.369,6.45
S325,User_325,V150,S650,2024-01-14,2,2.917,74.739,44.05,27.74
S326,User_326,V147,S436,2024-01-14,2,1.95,17.891,3.66,25.22
S327,User_327,V62,S560,2024-01-14,4,3.717,18.849,47.448,7.32
S328,User_328,V86,S759,2024-01-14,3,3.417,58.376,4.67,33.86
S329,User_329,V113,S96,2024-01-14,1,1.033,57.819,55.954,31.92
S330,User_330,V122,S1169,2024-01-14,3,1.45,13.325,24.743,12.39
S331,User_331,V58,S492,2024-01-14,2,3.833,14.503,37.66,11.91
S332,User_332,V122,S257,2024-01-14,2,0.95,26.345,19.952,17.65
S333,User_333,V132,S970,2024-01-14,4,1.067,50.597,9.86,27.99
S334,User_334,V78,S771,2024-01-14,2,2.567,28.362,11.05,17.59
S335,User_335,V9,S248,2024-01-14,4,2.783,103.813,16.591,17.67
S336,User_336,V113,S470,2024-01-14,4,1.567,70.399,20.751,20.16
S337,User_337,V139,S539,2024-01-15,3,1.183,77.173,17.573,11.76
S338,User_338,V9,S605,2024-01-15,2,1.9,62.193,20.453,19.48
S339,User_339,V74,S12,2024-01-15,3,2.767,71.911,10.553,21.33
S340,User_340,V9,S1148,2024-01-15,1,3.617,79.978,22.114,27.86
S341,User_341,V160,S483,2024-01-15,3,2.333,5.776,33.745,24.99
S342,User_342,V7,S657,2024-01-15,2,0.733,53.81,22.344,15.79
S343,User_343,V62,S186,2024-01-15,1,3.567,38.662,26.721,16.32
S344,User_344,V7,S918,2024-01-15,2,1.633,56.693,44.995,32.99
S345,User_345,V122,S399,2024-01-15,1,2.233,40.161,28.48,13.37
S346,User_346,V113,S104,2024-01-15,2,2.983,42.517,39.913,7.23
S347,User_347,V42,S978,2024-01-15,3,1.55,29.298,30.979,37.16
S348,User_348,V142,S271,2024-01-15,2,1.167,67.225,37.236,21.01
S349,User_349,V122,S701,2024-01-15,4,1.667,29.877,17.926,28.0
S350,User_350,V70,S496,2024-01-15,4,1.417,76.718,44.137,35.85
S351,User_351,V113,S231,2024-01-15,3,3.0,60.969,6.683,37.05
S352,User_352,V113,S61,2024-01-15,3,0.9,48.325,19.594,49.14
S353,User_353,V147,S237,2024-01-15,1,2.233,65.541,31.859,37.49
S354,User_354,V23,S71,2024-01-15,3,2.717,68.749,10.762,28.29
S355,User_355,V122,S415,2024-01-15,4,2.467,67.437,16.099,15.0
S356,User_356,V51,S362,2024-01-15,3,3.183,10.451,39.894,32.56
S357,User_357,V23,S738,2024-01-15,4,3.667,30.806,18.98,18.35
S358,User_358,V82,S1074,2024-01-15,3,0.633,62.096,30.529,8.86
S359,User_359,V160,S1046,2024-01-15,4,1.483,28.864,38.344,37.45
S360,User_360,V78,S1126,2024-01-15,1,2.567,33.371,41.929,7.41
S361,User_361,V14,S1025,2024-01-16,2,1.3,73.09,30.389,9.6
